Date,Close,Open,High,Low
10/24/2024,230.57,229.98,230.82,228.41
10/23/2024,230.76,234.08,235.14,227.76
10/22/2024,235.86,233.89,236.22,232.6
10/21/2024,236.48,234.45,236.85,234.45
10/18/2024,235,236.18,236.18,234.01
10/17/2024,232.15,233.43,233.85,230.52
10/16/2024,231.78,231.6,232.12,229.84
10/15/2024,233.85,233.61,237.49,232.37
10/14/2024,231.3,228.7,231.73,228.6
10/11/2024,227.55,229.3,229.41,227.34
10/10/2024,229.04,227.78,229.5,227.17
10/9/2024,229.54,225.23,229.75,224.83
10/8/2024,225.77,224.3,225.98,223.25
10/7/2024,221.69,224.5,225.69,221.33
10/4/2024,226.8,227.9,228,224.13
10/3/2024,225.67,225.14,226.81,223.32
10/2/2024,226.78,225.89,227.37,223.02
10/1/2024,226.21,229.52,229.65,223.74
9/30/2024,233,230.04,233,229.65
9/27/2024,227.79,228.46,229.52,227.3
9/26/2024,227.52,227.3,228.5,225.41
9/25/2024,226.37,224.93,227.29,224.02
9/24/2024,227.37,228.65,229.35,225.73
9/23/2024,226.47,227.34,229.45,225.81
9/20/2024,228.2,229.97,233.09,227.62
9/19/2024,228.87,224.99,229.82,224.63
9/18/2024,220.69,217.55,222.71,217.54
9/17/2024,216.79,215.75,216.9,214.5
9/16/2024,216.32,216.54,217.22,213.92
9/13/2024,222.5,223.58,224.04,221.91
9/12/2024,222.77,222.5,223.55,219.82
9/11/2024,222.66,221.46,223.09,217.89
9/10/2024,220.11,218.92,221.48,216.73
9/9/2024,220.91,220.82,221.27,216.71
9/6/2024,220.82,223.95,225.24,219.77
9/5/2024,222.38,221.63,225.48,221.52
9/4/2024,220.85,221.66,221.78,217.48
9/3/2024,222.77,228.55,229,221.17
8/30/2024,229,230.19,230.4,227.48
8/29/2024,229.79,230.1,232.92,228.88
8/28/2024,226.49,227.92,229.86,225.68
8/27/2024,228.03,226,228.85,224.89
8/26/2024,227.18,226.76,227.28,223.89
8/23/2024,226.84,225.66,228.22,224.33
8/22/2024,224.53,227.79,228.34,223.9
8/21/2024,226.4,226.52,227.98,225.05
8/20/2024,226.51,225.77,227.17,225.45
8/19/2024,225.89,225.72,225.99,223.04
8/16/2024,226.05,223.92,226.83,223.65
8/15/2024,224.72,224.6,225.35,222.76
8/14/2024,221.72,220.57,223.03,219.7
8/13/2024,221.27,219.01,221.89,219.01
8/12/2024,217.53,216.07,219.51,215.6
8/9/2024,216.24,212.1,216.78,211.97
8/8/2024,213.31,213.11,214.2,208.83
8/7/2024,209.82,206.9,213.64,206.39
8/6/2024,207.23,205.3,209.99,201.07
8/5/2024,209.27,199.09,213.5,196
8/2/2024,219.86,219.15,225.6,217.71
8/1/2024,218.36,224.37,224.48,217.02
7/31/2024,222.08,221.44,223.82,220.63
7/30/2024,218.8,219.19,220.33,216.12
7/29/2024,218.24,216.96,219.3,215.75
7/26/2024,217.96,218.7,219.49,216.01
7/25/2024,217.49,218.93,220.85,214.62
7/24/2024,218.54,224,224.8,217.13
7/23/2024,225.01,224.37,226.94,222.68
7/22/2024,223.96,227.01,227.78,223.09
7/19/2024,224.31,224.82,226.8,223.28
7/18/2024,224.18,230.28,230.44,222.27
7/17/2024,228.88,229.45,231.46,226.64
7/16/2024,234.82,235,236.27,232.33
