Date,Close,Open,High,Low
10/24/2024,218.39,220.8,221.32,216.16
10/23/2024,232.75,230.41,233.34,230.26
10/22/2024,232.25,231.99,232.97,230.67
10/21/2024,231.75,231.21,232.42,230.26
10/18/2024,232.2,231.92,232.65,230.17
10/17/2024,232.88,232,233.15,230.66
10/16/2024,233.67,232.11,233.88,231.12
10/15/2024,232.96,236.4,237.37,232.71
10/14/2024,235.26,233.57,236.12,233.17
10/11/2024,233.26,233.25,233.44,230.46
10/10/2024,233.02,235.1,235.83,231.81
10/9/2024,234.3,229.2,234.95,228.5
10/8/2024,228.62,228.11,229.35,227.04
10/7/2024,227.12,225.38,227.67,225.02
10/4/2024,226,223.75,226.08,223.27
10/3/2024,222.72,219.5,222.83,219.27
10/2/2024,219.73,218.31,220.2,215.8
10/1/2024,219.35,220.63,221.1,215.9
9/30/2024,221.08,220.65,221.32,219.02
9/27/2024,220.84,223,224.15,220.77
9/26/2024,223.43,222.11,224,221.36
9/25/2024,221.23,221.17,221.85,220.16
9/24/2024,220.97,219.78,221.19,218.16
9/23/2024,220.5,218,220.62,217.27
9/20/2024,217.7,214.33,217.85,213.74
9/19/2024,213.89,218.01,218.48,210.37
9/18/2024,214.94,214.13,216.86,213.59
9/17/2024,214.13,217.25,218.84,213
9/16/2024,217.16,215.88,217.9,215.52
9/13/2024,214.79,212.48,216.09,212.13
9/12/2024,211.61,210,212.65,208.27
9/11/2024,209.89,207.76,210.12,203.04
9/10/2024,205.32,204.2,205.83,202.87
9/9/2024,203.53,201.94,205.05,201.43
9/6/2024,200.74,202.38,204.1,199.34
9/5/2024,202.59,204.08,205.95,200.96
9/4/2024,204.11,200.76,204.36,200.5
9/3/2024,201.28,201.91,204.72,200.21
8/30/2024,202.13,199.11,202.17,198.73
8/29/2024,198.9,199.3,201.12,198.27
8/28/2024,198.46,199,200,197.49
8/27/2024,198.73,197.44,199.4,196.97
8/26/2024,197.98,196,198.35,195.9
8/23/2024,196.1,196.79,197.38,194.39
8/22/2024,195.96,197.25,197.92,195.57
8/21/2024,197.21,195.97,197.33,194.12
8/20/2024,196.03,194.59,196.21,193.75
8/19/2024,194.73,193.84,195.53,193.72
8/16/2024,193.78,193.58,194.35,192.86
8/15/2024,193.95,193.51,194.25,193.28
8/14/2024,192.32,191.15,193.09,190.73
8/13/2024,190.99,190.29,191.31,189.21
8/12/2024,189.48,191.25,191.58,189
8/9/2024,191.45,191.18,192.63,189.04
8/8/2024,192.61,187.5,192.88,187
8/7/2024,186.8,188.08,189.87,186.7
8/6/2024,186.8,184.7,188.9,183.64
8/5/2024,183.31,184.55,185.26,181.81
8/2/2024,189.12,188.78,189.26,185.7
8/1/2024,189.66,192.81,193.64,188.29
7/31/2024,192.14,191,194.55,189.99
7/30/2024,191.04,191.48,192.77,189.09
7/29/2024,191.5,193.18,193.29,189.18
7/26/2024,191.75,190.51,193.57,189.62
7/25/2024,191.98,186.8,196.26,185.3
7/24/2024,184.02,184.14,185.07,183.15
7/23/2024,184.1,184.36,185.38,183.01
7/22/2024,184.15,183.4,184.97,182.86
7/19/2024,183.25,186.33,187,181.95
7/18/2024,185.22,186.64,189.47,185.1
7/17/2024,187.45,185.44,187.94,185.07
7/16/2024,185.81,184.67,186.6,184.52
7/15/2024,182.88,183.38,184.9,182.6
7/12/2024,182.83,178.56,184.16,178.5
7/11/2024,178.31,177.65,179.44,176.62
7/10/2024,177.84,176.6,178.22,174.45
7/9/2024,176.48,177.6,177.7,175.58
7/8/2024,177.64,176.41,178.59,176.01
7/5/2024,176.02,175.74,176.09,173.95
7/3/2024,175.73,177.88,177.98,175.17
7/2/2024,177.3,174.84,177.49,174.32
7/1/2024,175.1,173.45,176.46,173.38
6/28/2024,172.95,170.85,173.46,170.53
6/27/2024,170.85,171.12,172.5,170.48
6/26/2024,171.87,171.28,172.68,170.41
6/25/2024,172.6,175.14,175.75,171.42
6/24/2024,175.01,175,178.46,174.15
6/21/2024,172.46,173.97,174.96,171.4
6/20/2024,173.92,174.08,174.28,171.22
6/18/2024,170.55,170,170.75,168.38
6/17/2024,169.5,168.76,169.72,167.5
6/14/2024,169.21,168.29,169.47,167.23
6/13/2024,169.12,169.01,169.59,168.34
6/12/2024,169,171.35,172.47,168.1
6/11/2024,169.32,169.98,170,166.81
6/10/2024,170.38,169.55,170.76,168.88
6/7/2024,170.01,168.18,171.31,168.06
6/6/2024,168.2,167.38,168.44,166.8
6/5/2024,167.38,166.41,167.79,165.78
6/4/2024,165.81,164.6,166.4,163.88
6/3/2024,165.28,166.54,166.78,163.53
5/31/2024,166.85,165.7,166.97,163.84
5/30/2024,165.63,165.56,166.73,164.23
5/29/2024,167.05,168,168.63,166.21
5/28/2024,169.66,170.44,171.09,168.65
5/24/2024,170.89,171.48,172.01,170.21
5/23/2024,170.67,175.39,175.46,170.44
5/22/2024,173.69,173.39,174.99,172.76
5/21/2024,173.47,169.94,174.97,169.94
5/20/2024,169.92,169,170.16,168.38
5/17/2024,169.03,168.97,169.11,167.33
5/16/2024,168.97,168.26,169.63,167.79
5/15/2024,168.26,167.94,168.35,167.34
5/14/2024,167.36,167.86,168.13,166.48
5/13/2024,167.56,167.5,168.06,166.76
5/10/2024,167.15,167.13,168.07,166.32
5/9/2024,166.27,167.5,167.55,165.88
5/8/2024,169.9,168.01,170.26,167.9
5/7/2024,168.38,169,169.29,167.94
5/6/2024,168.61,166.5,168.67,166.38
5/3/2024,165.71,165,166.61,164.92
5/2/2024,164.69,164.35,164.88,162.62
5/1/2024,164.43,165.69,166.27,164.3
4/30/2024,166.2,166.49,166.76,165.26
4/29/2024,167.43,167.4,168.22,166.23
4/26/2024,167.13,167.5,167.87,165.73
4/25/2024,168.91,168.2,172.45,165.66
4/24/2024,184.1,183.17,184.29,181.4
4/23/2024,182.19,182.73,184.68,179
4/22/2024,181.9,182.45,183.32,180.45
4/19/2024,181.58,182.43,182.8,180.57
4/18/2024,181.47,182.35,183.46,180.17
4/17/2024,183.1,184.16,184.67,181.78
4/16/2024,183.75,185.59,185.71,182.86
4/15/2024,181.25,185.57,187.48,180.88
4/12/2024,182.27,184,185.17,181.69
4/11/2024,185.9,186.04,186.8,184.58
4/10/2024,186.04,187.42,187.92,185.52
4/9/2024,189.31,190.54,191.25,186.66
4/8/2024,189.82,189.24,190.24,188.91
4/5/2024,189.14,188.59,190.32,188.02
4/4/2024,187.94,192,193.28,187.34
4/3/2024,190.9,188.6,191.35,188.49
4/2/2024,188.88,189.14,189.8,187.6
4/1/2024,189.83,190,190.46,188.52
3/28/2024,190.96,190.94,191.93,190.34
3/27/2024,190.8,189.6,190.96,188.6
3/26/2024,188.5,189.02,190,188.5
3/25/2024,188.79,190.26,190.82,188.75
3/22/2024,190.84,192,192.99,190.51
3/21/2024,191.9,193,193.37,190.01
3/20/2024,193.96,192.87,193.98,191.31
3/19/2024,193.34,191.49,193.58,190.28
3/18/2024,191.69,191.7,193.23,190.32
3/15/2024,191.07,191.99,193.06,190.7
3/14/2024,193.43,196.95,197.75,192.12
3/13/2024,196.7,197.55,198.1,195.32
3/12/2024,197.78,192.46,199.18,192.15
3/11/2024,191.73,195.09,195.38,190.88
3/8/2024,195.95,196.06,197.77,194.38
3/7/2024,196.54,197.58,198.73,196.14
3/6/2024,196.16,193.5,198.13,192.96
3/5/2024,191.95,192,193.94,190.57
3/4/2024,193.06,187.76,193.9,187.6
3/1/2024,188.2,185.49,188.38,185.18
2/29/2024,185.03,186.15,186.85,184.69
2/28/2024,185.3,184.63,185.37,183.55
2/27/2024,184.87,184.16,185.13,182.62
2/26/2024,184.13,185.6,186.13,184.06
2/23/2024,185.72,184.9,186.46,184.57
2/22/2024,184.21,182.45,184.55,181.93
2/21/2024,179.7,182.56,183.03,178.75
2/20/2024,183.44,187.64,188.77,183.06
2/16/2024,187.64,186.63,188.95,185.95
2/15/2024,186.87,183.62,186.98,183.62
2/14/2024,183.57,185,185,182.26
2/13/2024,183.7,184.28,184.77,182.36
2/12/2024,186.16,185.9,186.48,184.03
2/9/2024,186.34,184.44,187.18,183.85
2/8/2024,184.36,182.63,184.55,181.49
2/7/2024,183.74,183.34,184.02,182.63
2/6/2024,183.41,183.55,184.68,183.04
2/5/2024,183.42,185.51,185.78,183.26
2/2/2024,185.79,187.1,187.39,185.62
2/1/2024,186.9,183.63,187.51,182.71
1/31/2024,183.66,187.05,187.65,183.14
1/30/2024,187.87,187.71,188.65,186.77
1/29/2024,187.14,187.46,189.46,186.05
1/26/2024,187.42,191.31,192.39,186.16
1/25/2024,190.43,184.96,196.9,184.83
1/24/2024,173.93,174.76,174.86,172.9
1/23/2024,173.94,172.9,174.02,172.48
1/22/2024,172.83,172.82,174.45,172.4
1/19/2024,171.48,170.59,171.58,169.18
1/18/2024,166.84,166.49,166.99,165.04
1/17/2024,166.08,166.79,167.82,165.5
1/16/2024,166.96,165.8,167.25,165.34
1/12/2024,165.8,162.97,165.98,162.36
1/11/2024,162.16,161.02,162.23,160.29
1/10/2024,161.23,160.28,161.34,159.74
1/9/2024,160.08,160,160.48,159.51
1/8/2024,161.14,158.69,161.22,157.89
1/5/2024,159.16,159.91,160.55,158.67
1/4/2024,160.86,160.22,161.81,160.17
1/3/2024,160.1,161,161.73,160.08
1/2/2024,161.5,162.83,163.29,160.46
12/29/2023,163.55,163.75,164.18,162.83
12/28/2023,163.75,163.96,163.96,163.4
12/27/2023,163.46,163.14,163.64,162.68
12/26/2023,163.21,162.23,163.31,162.05
12/22/2023,162.14,161.1,162.41,161
12/21/2023,160.78,160.59,161.08,159.53
12/20/2023,160.05,161.29,161.8,160.01
12/19/2023,161.56,161.8,162.28,161.32
12/18/2023,162.74,162.23,163.33,161.58
12/15/2023,162.23,162.3,164.09,162.04
12/14/2023,162.91,162.93,163.5,160.15
12/13/2023,163.62,164.37,164.97,162.74
12/12/2023,164.71,163.27,166.34,162.92
12/11/2023,163.51,162.68,163.65,161.95
12/8/2023,161.96,160,162.04,160
12/7/2023,160.22,161,161.47,159.97
12/6/2023,160.28,161.59,162.36,160.01
12/5/2023,161.39,160.76,162.47,160.72
12/4/2023,161.1,160.29,162.79,160.29
12/1/2023,160.55,158.41,160.59,158
11/30/2023,158.56,156.95,158.6,156.89
11/29/2023,156.41,156.15,157.51,156.02
11/28/2023,155.65,155.44,155.75,154.86
11/27/2023,155.57,154.99,156.14,154.75
11/24/2023,155.18,155.13,155.4,153.92
11/22/2023,155.13,154.5,155.71,154.16
11/21/2023,153.91,154.6,154.66,153.51
11/20/2023,154.35,152.51,154.68,152.35
11/17/2023,152.89,153.29,153.5,152.46
11/16/2023,153.06,153,153.35,152.13
11/15/2023,152.58,150.4,153.22,150.4
11/14/2023,150.41,149.45,150.81,149.05
11/13/2023,148.1,148.46,148.49,147.35
11/10/2023,149.02,147.44,149.17,146.85
11/9/2023,146.62,146.55,146.99,145.28
11/8/2023,148.03,149.25,149.68,147.59
11/7/2023,148.83,149.03,149.28,148.03
11/6/2023,148.97,147.89,149.23,147.85
11/3/2023,147.9,147.45,148.45,147.28
11/2/2023,147.01,145.77,147.1,144.84
11/1/2023,145.4,145,146.51,144.45
10/31/2023,144.64,143,144.76,142.59
10/30/2023,142.63,143.19,144.5,142.58
10/27/2023,142.52,143.62,144.7,141.71
10/26/2023,143.76,142.2,144.41,141.58
10/25/2023,137.08,137.5,138.49,136.33
10/24/2023,137.79,136.74,137.98,136.05
10/23/2023,136.38,136.63,137.68,135.87
10/20/2023,137.16,138.15,139.27,137.12
10/19/2023,138.01,138.64,139.41,137.93
10/18/2023,139.97,140,140.43,139.58
10/17/2023,140.32,137.12,140.62,136.31
10/16/2023,139.21,139.28,139.78,138.52
10/13/2023,138.46,139.77,140.12,138.27
10/12/2023,141.24,142.51,142.93,140.95
