Date,Close,Volume,Open,High,Low
10/24/2024,424.73,13581630,425.325,425.9782,422.4
10/23/2024,424.6,19654380,430.855,431.08,422.53
10/22/2024,427.51,25482200,418.49,430.5793,418.04
10/21/2024,418.78,14206120,416.12,418.96,413.7501
10/18/2024,418.16,17145320,417.14,419.65,416.2601
10/17/2024,416.72,14820000,422.36,422.5,415.59
10/16/2024,416.12,15508930,415.17,416.36,410.48
10/15/2024,418.74,18900200,422.18,422.48,415.26
10/14/2024,419.14,16653090,417.77,424.04,417.52
10/11/2024,416.32,14144940,416.135,417.13,413.25
10/10/2024,415.84,13848380,415.225,417.35,413.15
10/9/2024,417.46,14974260,415.86,420.38,414.3
10/8/2024,414.71,19229260,410.9,415.66,408.17
10/7/2024,409.54,20919760,416,417.11,409
10/4/2024,416.06,19190910,418.24,419.75,414.97
10/3/2024,416.54,13686420,417.63,419.55,414.29
10/2/2024,417.13,16582260,422.58,422.82,416.71
10/1/2024,420.69,19092950,428.45,428.48,418.81
9/30/2024,430.3,16854610,428.21,430.42,425.37
9/27/2024,428.02,14896130,431.52,431.85,427.47
9/26/2024,431.31,14492040,435.085,435.3,429.13
9/25/2024,432.11,13396360,429.83,433.119,428.57
9/24/2024,429.17,17015750,433,433.35,426.1
9/23/2024,433.51,15128890,434.28,436.46,430.3889
9/20/2024,435.27,55167110,437.22,439.24,434.22
9/19/2024,438.69,21706560,441.225,441.5,436.9
9/18/2024,430.81,18898040,435,436.03,430.41
9/17/2024,435.15,18874230,440.23,441.85,432.27
9/16/2024,431.34,13834700,430.6,433.53,428.22
9/13/2024,430.59,15874560,425.825,431.83,425.46
9/12/2024,427,17418760,423.31,427.3692,419.75
9/11/2024,423.04,19266920,415.5,423.99,409.58
9/10/2024,414.2,19594290,408.2,416.33,407.7
9/9/2024,405.72,15295130,407.24,408.65,402.15
9/6/2024,401.7,19609530,409.06,410.65,400.8
9/5/2024,408.39,14195520,407.62,413.1,406.13
9/4/2024,408.9,15135810,405.91,411.24,404.37
9/3/2024,409.44,20313600,417.91,419.88,407.03
8/30/2024,417.14,24308320,415.6,417.49,412.13
8/29/2024,413.12,17045240,414.94,422.05,410.6
8/28/2024,410.6,14882660,414.88,415,407.31
8/27/2024,413.84,13492910,412.86,414.36,410.25
8/26/2024,413.49,13152830,416.365,417.2799,411.34
8/23/2024,416.79,18493780,416.98,419.26,412.09
8/22/2024,415.55,19361900,424.36,426.7899,414.61
8/21/2024,424.14,16067300,424.075,426.4,421.72
8/20/2024,424.8,16387580,421.7,425.86,421.64
8/19/2024,421.53,15233960,418.96,421.75,416.46
8/16/2024,418.47,22775590,420.6,421.34,417.3
8/15/2024,421.03,20752140,419.8,421.11,417.66
8/14/2024,416.86,18266980,414.8,417.72,412.4456
8/13/2024,414.01,19414270,409.59,414.95,409.57
8/12/2024,406.81,16762880,407.06,408.76,404.2434
8/9/2024,406.02,19276670,404.03,408.05,402.2624
8/8/2024,402.69,20203030,402.44,405.86,399.9407
8/7/2024,398.43,20650910,408.635,410.08,397.47
8/6/2024,399.61,24946530,400,405.67,398.5
8/5/2024,395.15,40709240,389.17,401.04,385.58
8/2/2024,408.49,29437900,412.49,415,404.34
8/1/2024,417.11,30296400,420.785,427.46,413.0901
7/31/2024,418.35,42891370,420.495,421.775,412.21
7/30/2024,422.92,32687580,427.72,429.05,417.36
7/29/2024,426.73,15125840,431.58,432.15,424.7042
7/26/2024,425.27,23583840,418.2,428.915,417.27
7/25/2024,418.4,29943800,428.8,429.8,417.51
7/24/2024,428.9,26805800,440.45,441.48,427.585
7/23/2024,444.85,13107050,443.895,448.39,443.1
7/22/2024,442.94,15808760,441.79,444.6,438.9125
7/19/2024,437.11,20940420,433.1,441.14,432
7/18/2024,440.37,20794820,444.34,444.65,434.4
7/17/2024,443.52,21754020,442.59,444.85,439.18
7/16/2024,449.52,17175680,454.22,454.3,446.66
7/15/2024,453.96,14429450,453.3,457.26,451.43
7/12/2024,453.55,16324270,454.325,456.36,450.645
7/11/2024,454.7,23111180,462.98,464.78,451.55
7/10/2024,466.25,18196100,461.22,466.46,458.855
7/9/2024,459.54,17228510,467,467.33,458
7/8/2024,466.24,12962320,466.55,467.7,464.46
7/5/2024,467.56,16000290,459.61,468.35,458.965
7/3/2024,460.77,9932830,458.19,461.02,457.88
7/2/2024,459.28,13979780,453.2,459.59,453.113
7/1/2024,456.73,17662820,448.66,457.37,445.66
6/28/2024,446.95,28362270,453.07,455.38,446.41
6/27/2024,452.85,14806320,452.175,456.17,451.77
6/26/2024,452.16,16507030,449,453.6,448.19
6/25/2024,450.95,16747530,448.25,451.42,446.75
6/24/2024,447.67,15913720,449.8,452.75,446.41
6/21/2024,449.78,34486170,447.38,450.58,446.51
6/20/2024,445.7,19877380,446.3,446.53,441.27
6/18/2024,446.34,17112500,449.705,450.14,444.89
6/17/2024,448.37,20790030,442.585,450.94,440.72
6/14/2024,442.57,13581990,438.275,443.1376,436.721
6/13/2024,441.58,15960570,440.85,443.39,439.37
6/12/2024,441.06,22366230,435.32,443.4,433.25
6/11/2024,432.68,14551100,425.475,432.82,425.25
6/10/2024,427.87,14003030,424.7,428.08,423.89
